id,symbol,name,class,centralized,isMultiplatforms
immutable-x,imx,Immutable,1,0,0
floki,floki,FLOKI,1,0,1
gala,gala,GALA,1,0,0
beam-2,beam,Beam,1,0,1
axie-infinity,axs,Axie Infinity,1,0,1
the-sandbox,sand,The Sandbox,1,0,1
ronin,ron,Ronin,1,0,0
apecoin,ape,ApeCoin,1,0,1
echelon-prime,prime,Echelon Prime,1,0,1
illuvium,ilv,Illuvium,1,0,1
skale,skl,SKALE,1,0,0
enjincoin,enj,Enjin Coin,1,0,1
stepn,gmt,GMT,1,0,1
pixels,pixel,Pixels,1,0,1
guildfi,gf,GuildFi,1,0,0
yield-guild-games,ygg,Yield Guild Games,1,0,1
chromaway,chr,Chromia,1,0,1
wilder-world,wild,Wilder World,1,0,0
wax,waxp,WAX,1,0,0
xai-blockchain,xai,Xai,1,0,0
magic,magic,Magic,1,0,1
smooth-love-potion,slp,Smooth Love Potion,1,0,1
big-time,bigtime,Big Time,1,0,0
portal-2,portal,Portal,1,0,0
crown-by-third-time-games,crown,Crown by Third Time Games,1,0,0
bluzelle,blz,Bluzelle,1,0,1
hooked-protocol,hook,Hooked Protocol,1,0,0
heroes-of-mavia,mavia,Heroes of Mavia,1,0,1
myria,myria,Myria,1,0,0
oasys,oas,Oasys,1,0,0
guild-of-guardians,gog,Guild of Guardians,1,0,0
my-neighbor-alice,alice,My Neighbor Alice,1,0,1
nakamoto-games,naka,Nakamoto Games,1,0,0
vulcan-forged,pyr,Vulcan Forged,1,0,1
marblex,mbx,Marblex,1,0,1
mobox,mbox,Mobox,1,0,0
aavegotchi,ghst,Aavegotchi,1,0,1
sidus,sidus,Sidus,1,0,0
mines-of-dalarnia,dar,Mines of Dalarnia,1,0,1
xpla,xpla,XPLA,1,0,0
radio-caca,raca,Radio Caca,1,0,1
gamercoin,ghx,GamerCoin,1,0,1
star-atlas,atlas,Star Atlas,1,0,0
shrapnel-2,shrap,Shrapnel,1,0,1
sweatcoin,sweat,Sweat Economy,1,0,1
moon-tropica,cah,Moon Tropica,1,0,0
alien-worlds,tlm,Alien Worlds,1,0,1
star-atlas-dao,polis,Star Atlas DAO,1,0,0
gods-unchained,gods,Gods Unchained,1,0,0
ultra,uos,Ultra,1,0,0
merit-circle,mc,Merit Circle,1,0,1
cornucopias,copi,Cornucopias,1,0,1
