rank,name,symbol,market_cap,price,circulating_supply,%1h,%7h,%24h,date
1,Bitcoin,BTC,1488566971.96,134.21,11091325,0.64,0.64,0.64,2013-04-28
2,Litecoin,LTC,74637021.57,4.3484,17164230,0.8,0.8,0.8,2013-04-28
3,Peercoin,PPC,7250186.65,0.3865,18757362,-0.93,-0.93,-0.93,2013-04-28
4,Namecoin,NMC,5995997.19,1.1072,5415300,-0.05,-0.05,-0.05,2013-04-28
5,Terracoin,TRC,1503099.4,0.6469,2323570,0.61,0.61,0.61,2013-04-28
6,Devcoin,DVC,1424087.3,0.0003261,4366620160,0.46,0.46,0.46,2013-04-28
7,Novacoin,NVC,1162266.3,4.2464,273706,2.14,2.14,2.14,2013-04-28
1,Bitcoin,BTC,1288693216.22,115.91,11118050,0.43,0.43,0.43,2013-05-05
2,Litecoin,LTC,62298217.32,3.5909,17348954,0.1,0.1,0.1,2013-05-05
3,Namecoin,NMC,6290543.05,1.151,5465350,-1.19,-1.19,-1.19,2013-05-05
4,Peercoin,PPC,5718446.46,0.3037,18830240,0.31,0.31,0.31,2013-05-05
5,Feathercoin,FTC,2017436.23,0.313,6444650,-12.81,-12.81,-12.81,2013-05-05
6,Freicoin,FRC,1627438.51,0.08114,20057908,-14.89,-14.89,-14.89,2013-05-05
7,Terracoin,TRC,1367162.39,0.568,2407150,1.13,1.13,1.13,2013-05-05
8,Devcoin,DVC,1052081.53,0.0002388,4406170112,0.63,0.63,0.63,2013-05-05
9,Novacoin,NVC,1015804.46,3.6871,275503,1.26,1.26,1.26,2013-05-05
10,Mincoin,MNC,118657.23,0.1159,1023701,0.31,0.31,0.31,2013-05-05
1,Bitcoin,BTC,1281982625.0,115.0,11147675,-0.03,-0.03,-0.03,2013-05-12
2,Litecoin,LTC,57513319.09,3.2694,17591130,0.17,0.17,0.17,2013-05-12
3,Namecoin,NMC,4674413.4,0.8464,5522700,0.02,0.02,0.02,2013-05-12
4,Peercoin,PPC,4585556.07,0.2427,18897820,-1.2,-1.2,-1.2,2013-05-12
5,Novacoin,NVC,984531.38,3.5201,279685,-0.1,-0.1,-0.1,2013-05-12
6,Devcoin,DVC,983447.61,0.0002208,4454020096,0.58,0.58,0.58,2013-05-12
7,Terracoin,TRC,954262.84,0.3807,2506930,-1.02,-1.02,-1.02,2013-05-12
8,Feathercoin,FTC,820221.45,0.1253,6543450,-0.48,-0.48,-0.48,2013-05-12
9,Freicoin,FRC,748241.76,0.03596,20807988,0.02,0.02,0.02,2013-05-12
10,CHNCoin,CNC,489370.4,0.0966,5065946,2.83,2.83,2.83,2013-05-12
11,Mincoin,MNC,247203.65,0.237,1042987,-0.03,-0.03,-0.03,2013-05-12
12,BBQCoin,BQC,156410.47,0.0092,17001138,-2.7,-2.7,-2.7,2013-05-12
13,Ixcoin,IXC,147029.97,0.01162,12653618,-0.33,-0.33,-0.33,2013-05-12
14,BitBar,BTB,82905.8,28.86,2872,13.72,13.72,13.72,2013-05-12
1,Bitcoin,BTC,1363205019.9,121.99,11174725,-0.35,-0.35,-0.35,2013-05-19
2,Litecoin,LTC,58760675.05,3.3035,17787454,-0.8,-0.8,-0.8,2013-05-19
3,Namecoin,NMC,4789082.16,0.8576,5584350,0.94,0.94,0.94,2013-05-19
4,Peercoin,PPC,3934412.36,0.2074,18971716,-1.26,-1.26,-1.26,2013-05-19
5,Novacoin,NVC,1020004.7,3.6182,281908,-1.48,-1.48,-1.48,2013-05-19
6,Terracoin,TRC,934991.48,0.3587,2606970,-0.88,-0.88,-0.88,2013-05-19
7,Devcoin,DVC,906212.77,0.0002013,4502170112,0.08,0.08,0.08,2013-05-19
8,Feathercoin,FTC,833818.95,0.1269,6572250,0.34,0.34,0.34,2013-05-19
9,Freicoin,FRC,711435.19,0.03416,20827516,-0.34,-0.34,-0.34,2013-05-19
10,CHNCoin,CNC,485058.81,0.09515,5097714,0.76,0.76,0.76,2013-05-19
11,Mincoin,MNC,207096.26,0.1952,1061031,-0.35,-0.35,-0.35,2013-05-19
12,Ixcoin,IXC,154515.88,0.01221,12653618,8.43,8.43,8.43,2013-05-19
13,BitBar,BTB,128439.08,42.7,3008,15.43,15.43,15.43,2013-05-19
14,BBQCoin,BQC,123231.29,0.007075,17416812,-6.78,-6.78,-6.78,2013-05-19
1,Bitcoin,BTC,1495292967.14,133.48,11202375,-1.16,-1.16,-1.16,2013-05-26
2,Litecoin,LTC,58458016.95,3.2489,17993154,-0.37,-0.37,-0.37,2013-05-26
3,Namecoin,NMC,5251485.27,0.9304,5644600,-2.32,-2.32,-2.32,2013-05-26
4,Peercoin,PPC,3612498.62,0.1895,19059134,-6.42,-6.42,-6.42,2013-05-26
5,Novacoin,NVC,1225595.4,4.3087,284444,-2.43,-2.43,-2.43,2013-05-26
6,Devcoin,DVC,915607.0,0.0002015,4542720000,-0.82,-0.82,-0.82,2013-05-26
7,Terracoin,TRC,842448.9,0.3123,2697190,-3.42,-3.42,-3.42,2013-05-26
8,Freicoin,FRC,687220.0,0.0327,21014232,-1.19,-1.19,-1.19,2013-05-26
9,Feathercoin,FTC,654331.38,0.09878,6624450,-2.47,-2.47,-2.47,2013-05-26
10,CHNCoin,CNC,374915.45,0.07341,5106866,-2.95,-2.95,-2.95,2013-05-26
11,Mincoin,MNC,130393.11,0.1218,1070899,-9.23,-9.23,-9.23,2013-05-26
12,Ixcoin,IXC,127367.86,0.01007,12653618,-1.19,-1.19,-1.19,2013-05-26
13,BBQCoin,BQC,114258.29,0.006407,17833240,-2.35,-2.35,-2.35,2013-05-26
14,WorldCoin,WDC,61369.21,0.02565,2392562,-0.1,-0.1,-0.1,2013-05-26
15,BitBar,BTB,54030.08,17.36,3113,-1.19,-1.19,-1.19,2013-05-26
1,Bitcoin,BTC,1373839383.45,122.29,11234075,1.0,1.0,1.0,2013-06-02
2,Litecoin,LTC,49625738.78,2.7271,18197154,0.85,0.85,0.85,2013-06-02
3,Namecoin,NMC,4038794.14,0.7093,5694100,0.82,0.82,0.82,2013-06-02
4,Peercoin,PPC,2899779.44,0.1516,19122498,1.39,1.39,1.39,2013-06-02
5,Novacoin,NVC,1117980.01,3.9048,286310,0.93,0.93,0.93,2013-06-02
6,Devcoin,DVC,674189.93,0.0001467,4594120192,1.0,1.0,1.0,2013-06-02
7,Terracoin,TRC,662838.49,0.2385,2779550,1.0,1.0,1.0,2013-06-02
8,Feathercoin,FTC,545794.55,0.08194,6661250,2.08,2.08,2.08,2013-06-02
9,Freicoin,FRC,417750.51,0.01981,21086442,1.0,1.0,1.0,2013-06-02
10,CHNCoin,CNC,287451.99,0.05625,5109858,1.0,1.0,1.0,2013-06-02
11,Ixcoin,IXC,86656.55,0.006848,12653618,1.0,1.0,1.0,2013-06-02
12,Mincoin,MNC,78887.29,0.07338,1075103,1.0,1.0,1.0,2013-06-02
13,BBQCoin,BQC,76751.02,0.004207,18244294,0.7,0.7,0.7,2013-06-02
14,BitBar,BTB,52295.84,15.91,3287,0.97,0.97,0.97,2013-06-02
1,Bitcoin,BTC,1126642500.0,100.0,11266425,-2.04,-2.04,-2.04,2013-06-09
2,Litecoin,LTC,43858288.59,2.383,18404654,-1.66,-1.66,-1.66,2013-06-09
3,Namecoin,NMC,3311798.26,0.576,5749650,-2.41,-2.41,-2.41,2013-06-09
4,Peercoin,PPC,2267778.06,0.118,19218458,-1.2,-1.2,-1.2,2013-06-09
5,Novacoin,NVC,953097.98,3.305,288381,-1.89,-1.89,-1.89,2013-06-09
6,Feathercoin,FTC,852774.31,0.126,6768050,0.33,0.33,0.33,2013-06-09
7,Terracoin,TRC,556761.98,0.195,2855190,-2.29,-2.29,-2.29,2013-06-09
8,Devcoin,DVC,538224.93,0.000116,4639869952,-2.06,-2.06,-2.06,2013-06-09
9,Freicoin,FRC,344283.64,0.01613,21345628,-2.06,-2.06,-2.06,2013-06-09
10,CHNCoin,CNC,260701.49,0.051,5111794,-1.28,-1.28,-1.28,2013-06-09
11,BBQCoin,BQC,98890.42,0.0053,18658570,-3.87,-3.87,-3.87,2013-06-09
12,Yacoin,YAC,98315.19,0.0302,3255470,-4.95,-4.95,-4.95,2013-06-09
13,Digitalcoin,DGC,70346.91,0.0392,1794564,3.1,3.1,3.1,2013-06-09
14,WorldCoin,WDC,60438.16,0.01287,4696050,-2.27,-2.27,-2.27,2013-06-09
15,BitBar,BTB,45586.21,13.1,3479,-2.07,-2.07,-2.07,2013-06-09
16,Mincoin,MNC,44972.33,0.0411,1094217,-2.06,-2.06,-2.06,2013-06-09
17,Memecoin,MEM,14865.88,0.001715,8668150,-0.13,-0.13,-0.13,2013-06-09
18,AmericanCoin,AMC,4150.01,0.004178,993300,-2.57,-2.57,-2.57,2013-06-09
19,Franko,FRK,2772.8,0.15,18485,-2.59,-2.59,-2.59,2013-06-09
20,Elacoin,ELC,768.13,0.036,21337,-18.23,-18.23,-18.23,2013-06-09
1,Bitcoin,BTC,1124306468.29,99.51,11298425,-0.01,-0.01,-0.01,2013-06-16
2,Litecoin,LTC,39617176.03,2.1295,18603854,0.84,0.84,0.84,2013-06-16
3,Namecoin,NMC,2313381.58,0.3951,5855850,1.27,1.27,1.27,2013-06-16
4,Peercoin,PPC,2131363.14,0.1105,19296016,-0.78,-0.78,-0.78,2013-06-16
5,Novacoin,NVC,943738.73,3.247,290648,-0.29,-0.29,-0.29,2013-06-16
6,Feathercoin,FTC,817909.0,0.1085,7540700,0.39,0.39,0.39,2013-06-16
7,Terracoin,TRC,468510.18,0.1602,2924330,0.08,0.08,0.08,2013-06-16
8,Devcoin,DVC,411176.5,8.774e-05,4686519808,1.33,1.33,1.33,2013-06-16
9,Freicoin,FRC,386099.25,0.01791,21554378,-0.01,-0.01,-0.01,2013-06-16
10,CHNCoin,CNC,216136.99,0.04179,5171458,-0.01,-0.01,-0.01,2013-06-16
11,BBQCoin,BQC,83118.07,0.004359,19070168,7.0,7.0,7.0,2013-06-16
12,Digitalcoin,DGC,71553.91,0.02987,2395198,0.06,0.06,0.06,2013-06-16
13,Yacoin,YAC,70774.48,0.0199,3556148,-0.65,-0.65,-0.65,2013-06-16
14,WorldCoin,WDC,56980.47,0.009473,6014815,-0.01,-0.01,-0.01,2013-06-16
15,Mincoin,MNC,37617.32,0.03393,1108579,-0.01,-0.01,-0.01,2013-06-16
16,BitBar,BTB,21486.74,5.9706,3599,-11.12,-11.12,-11.12,2013-06-16
17,GoldCoin,GLC,19834.44,0.001462,13566450,-0.67,-0.67,-0.67,2013-06-16
18,Memecoin,MEM,8474.66,0.0008163,10381550,-0.33,-0.33,-0.33,2013-06-16
19,Luckycoin,LKY,7949.17,0.002512,3164008,-0.05,-0.05,-0.05,2013-06-16
20,Franko,FRK,4284.35,0.1939,22091,16.59,16.59,16.59,2013-06-16
21,AmericanCoin,AMC,2148.21,0.002115,1015900,-0.01,-0.01,-0.01,2013-06-16
22,Junkcoin,JKC,1958.27,0.0003806,5145900,1.0,1.0,1.0,2013-06-16
23,Nibble,NBL,1867.33,0.002984,625804,0.22,0.22,0.22,2013-06-16
24,Elacoin,ELC,1392.67,0.06468,21530,-0.01,-0.01,-0.01,2013-06-16
1,Bitcoin,BTC,1218626731.94,107.6,11325525,-0.27,-0.27,-0.27,2013-06-23
2,Litecoin,LTC,58663951.67,3.1172,18819604,-0.59,-0.59,-0.59,2013-06-23
3,Namecoin,NMC,3329217.96,0.5627,5916000,-1.19,-1.19,-1.19,2013-06-23
4,Peercoin,PPC,2358403.7,0.1216,19396678,-0.5,-0.5,-0.5,2013-06-23
5,Novacoin,NVC,1042586.72,3.497,298137,-0.55,-0.55,-0.55,2013-06-23
6,Feathercoin,FTC,799217.02,0.09899,8073550,-0.11,-0.11,-0.11,2013-06-23
7,Terracoin,TRC,416782.31,0.1399,2979570,0.5,0.5,0.5,2013-06-23
8,Devcoin,DVC,407340.96,8.608e-05,4732120064,-0.27,-0.27,-0.27,2013-06-23
9,Freicoin,FRC,274484.38,0.01259,21801296,-0.33,-0.33,-0.33,2013-06-23
10,CHNCoin,CNC,135261.23,0.02582,5237810,4.1,4.1,4.1,2013-06-23
11,Digitalcoin,DGC,84169.38,0.02819,2985547,0.34,0.34,0.34,2013-06-23
12,Yacoin,YAC,82023.91,0.02163,3792557,-0.32,-0.32,-0.32,2013-06-23
13,BBQCoin,BQC,79853.09,0.0041,19478450,-0.23,-0.23,-0.23,2013-06-23
14,Ixcoin,IXC,68433.51,0.00495,13826066,-0.2,-0.2,-0.2,2013-06-23
15,WorldCoin,WDC,67830.58,0.009766,6945743,-0.23,-0.23,-0.23,2013-06-23
16,BitBar,BTB,24643.61,6.5636,3755,-0.23,-0.23,-0.23,2013-06-23
17,Mincoin,MNC,24316.38,0.02153,1129661,-0.33,-0.33,-0.33,2013-06-23
18,GoldCoin,GLC,18141.18,0.001189,15263950,-0.41,-0.41,-0.41,2013-06-23
19,Memecoin,MEM,13338.13,0.00109,12236950,-0.02,-0.02,-0.02,2013-06-23
20,Bytecoin,BTE,11370.84,0.01238,918850,-0.23,-0.23,-0.23,2013-06-23
21,Luckycoin,LKY,11294.04,0.002799,4035492,-0.23,-0.23,-0.23,2013-06-23
22,Franko,FRK,4335.78,0.1668,25997,-0.23,-0.23,-0.23,2013-06-23
23,Nibble,NBL,3232.05,0.004305,750754,-0.23,-0.23,-0.23,2013-06-23
24,AmericanCoin,AMC,2421.87,0.002282,1061200,-0.23,-0.23,-0.23,2013-06-23
25,Junkcoin,JKC,2081.27,0.0003797,5481100,-0.4,-0.4,-0.4,2013-06-23
26,Elacoin,ELC,1878.35,0.08673,21659,-0.11,-0.11,-0.11,2013-06-23
1,Bitcoin,BTC,1096957926.58,96.61,11354025,-0.53,-0.53,-0.53,2013-06-30
2,Litecoin,LTC,56721517.99,2.9805,19030604,0.08,0.08,0.08,2013-06-30
3,Namecoin,NMC,2995222.23,0.5014,5973400,-1.65,-1.65,-1.65,2013-06-30
4,Peercoin,PPC,2367684.2,0.1217,19449710,0.28,0.28,0.28,2013-06-30
5,Novacoin,NVC,931437.38,3.0926,301181,-0.51,-0.51,-0.51,2013-06-30
6,Feathercoin,FTC,694353.94,0.07826,8872700,0.73,0.73,0.73,2013-06-30
7,Terracoin,TRC,395910.4,0.1304,3035450,-0.27,-0.27,-0.27,2013-06-30
8,Devcoin,DVC,350826.66,7.343e-05,4777920000,-0.51,-0.51,-0.51,2013-06-30
9,Freicoin,FRC,274804.66,0.01256,21879664,-0.51,-0.51,-0.51,2013-06-30
10,Digitalcoin,DGC,93810.47,0.02619,3582563,-0.33,-0.33,-0.33,2013-06-30
