rank,name,symbol,market_cap,price,circulating_supply,volume_24h,%1h,%7h,%24h,date
1,Bitcoin,BTC,1278296008665.18,64926.64,6492664,20506644853.02,-0.20  ,-0.10  ,-1.24  ,2024-04-21
2,Ethereum,ETH,377899123113.35,3147.29,314729,9394387894.31,-0.30  ,-0.33  ,-0.31  ,2024-04-21
3,Tether USDt,USDT,109857607038.34,1.0002,10002,40914266459.98,0.01  ,-0.02  ,-0.09  ,2024-04-21
4,BNB,BNB,86672374451.12,579.62,57962,782061075.60,-0.08  ,1.52  ,2.19  ,2024-04-21
5,Solana,SOL,66417713293.18,148.61,14861,2211663290.99,-0.46  ,-1.67  ,-1.77  ,2024-04-21
6,USDC,USDC,33943490879.04,1.0000,10000,4622993535.93,0.01  ,-0.01  ,-0.03  ,2024-04-21
7,XRP,XRP,28925167432.60,0.5247,05247,896875432.55,-0.27  ,-0.87  ,4.05  ,2024-04-21
8,Dogecoin,DOGE,22786527781.65,0.1583,01583,1293159345.73,-0.42  ,-2.80  ,-2.48  ,2024-04-21
9,Toncoin,TON,21327224325.21,6.1440,61440,208390924.15,0.03  ,-1.18  ,-9.15  ,2024-04-21
10,Cardano,ADA,17787098898.00,0.4993,04993,354417376.98,-0.21  ,-1.31  ,6.48  ,2024-04-21
11,Shiba Inu,SHIB,15492622897.09,0.00002629,000002629,1219703165.50,-0.51  ,0.02  ,15.66  ,2024-04-21
12,Avalanche,AVAX,14030181656.37,37.12,3712,351138121.95,-0.16  ,-3.09  ,-0.53  ,2024-04-21
13,Polkadot,DOT,10246380636.52,7.1350,71350,149501379.30,-0.13  ,-1.37  ,3.87  ,2024-04-21
14,Bitcoin Cash,BCH,9897170531.55,502.52,50252,333859362.19,-0.48  ,-2.53  ,-4.81  ,2024-04-21
15,TRON,TRX,9753379839.56,0.1113,01113,202407396.44,-0.07  ,0.20  ,-1.11  ,2024-04-21
16,Chainlink,LINK,8853709387.69,15.08,1508,253842937.35,1.14  ,0.77  ,6.80  ,2024-04-21
17,Polygon,MATIC,7058863762.23,0.7134,07134,232353520.54,-0.28  ,-3.35  ,0.17  ,2024-04-21
18,Internet Computer,ICP,6991010641.34,15.10,1510,158894963.52,-0.82  ,-2.74  ,17.10  ,2024-04-21
