id,symbol,name,class
immutable-x,imx,Immutable,1
floki,floki,FLOKI,1
gala,gala,GALA,1
beam-2,beam,Beam,1
axie-infinity,axs,Axie Infinity,1
the-sandbox,sand,The Sandbox,1
ronin,ron,Ronin,1
apecoin,ape,ApeCoin,1
echelon-prime,prime,Echelon Prime,1
illuvium,ilv,Illuvium,1
skale,skl,SKALE,1
enjincoin,enj,Enjin Coin,1
stepn,gmt,GMT,1
pixels,pixel,Pixels,1
guildfi,gf,GuildFi,1
yield-guild-games,ygg,Yield Guild Games,1
chromaway,chr,Chromia,1
wilder-world,wild,Wilder World,1
wax,waxp,WAX,1
xai-blockchain,xai,Xai,1
magic,magic,Magic,1
smooth-love-potion,slp,Smooth Love Potion,1
big-time,bigtime,Big Time,1
portal-2,portal,Portal,1
crown-by-third-time-games,crown,Crown by Third Time Games,1
bluzelle,blz,Bluzelle,1
hooked-protocol,hook,Hooked Protocol,1
heroes-of-mavia,mavia,Heroes of Mavia,1
myria,myria,Myria,1
oasys,oas,Oasys,1
guild-of-guardians,gog,Guild of Guardians,1
my-neighbor-alice,alice,My Neighbor Alice,1
nakamoto-games,naka,Nakamoto Games,1
vulcan-forged,pyr,Vulcan Forged,1
marblex,mbx,Marblex,1
mobox,mbox,Mobox,1
aavegotchi,ghst,Aavegotchi,1
sidus,sidus,Sidus,1
mines-of-dalarnia,dar,Mines of Dalarnia,1
xpla,xpla,XPLA,1
radio-caca,raca,Radio Caca,1
gamercoin,ghx,GamerCoin,1
star-atlas,atlas,Star Atlas,1
shrapnel-2,shrap,Shrapnel,1
sweatcoin,sweat,Sweat Economy,1
moon-tropica,cah,Moon Tropica,1
alien-worlds,tlm,Alien Worlds,1
star-atlas-dao,polis,Star Atlas DAO,1
gods-unchained,gods,Gods Unchained,1
ultra,uos,Ultra,1
merit-circle,mc,Merit Circle,1
cornucopias,copi,Cornucopias,1
punk-2,punk,PunkCity,1
cocos-bcx,combo,COMBO,1
dream-machine-token,dmt,Dream Machine Token,1
deapcoin,dep,DEAPCOIN,1
games-for-a-living,gfal,Games for a Living,1
voxies,voxel,Voxies,1
katana-inu,kata,Katana Inu,1
green-satoshi-token,gst-sol,STEPN Green Satoshi Token on Solana,1
gamium,gmm,Gamium,1
cere-network,cere,Cere Network,1
altura,alu,Altura,1
derace,derc,DeRace,1
metahero,hero,Metahero,1
carbify,cby,Carbify,1
the-virtua-kolect,tvk,Virtua,1
drunk-robots,metal,Badmad Robots,1
qopro,qorpo,QORPO WORLD,1
breederdao,breed,BreederDAO,1
sipher,sipher,SIPHER,1
passage,pasg,Passage,1
league-of-kingdoms,loka,League of Kingdoms,1
aurory,aury,Aurory,1
hytopia,topia,HYCHAIN,1
sappy-seals-pixl,pixl,PIXL,1
xana,xeta,XANA,1
raini-studios-token,rst,Raini Studios Token,1
volt-inu-2,volt,Volt Inu,1
altered-state-token,asto,Altered State Machine,1
wagmi-game-2,wagmigames,WAGMI Games,1
taki,taki,Taki Games,1
starlink,starl,StarLink,1
decentral-games,dg,Decentral Games,1
ufo-gaming,ufo,UFO Gaming,1
playa3ull-games-2,3ull,PLAYA3ULL GAMES,1
hello-labs,hello,HELLO,1
metacade,mcade,Metacade,1
affyn,fyn,Affyn,1
honeyland-honey,hxd,Honeyland,1
step-app-fitfi,fitfi,Step App,1
gameswift,gswift,GameSwift,1
nft-worlds,wrld,NFT Worlds,1
lords,lords,LORDS,1
phantasma,soul,Phantasma,1
kompete,kompete,KOMPETE,1
defi-kingdoms,jewel,DeFi Kingdoms,1
king-of-legends-2,kol,King of Legends,1
burger-swap,burger,BurgerCities,1
spartadex,sparta,SpartaDEX,1
kapital-dao,kap,KAP Games,1
octo-gaming,otk,Octokn,1
catecoin,cate,CateCoin,1
domi,domi,Domi,1
gamee,gmee,GAMEE,1
defi-land,dfl,DeFi Land,1
artyfact,arty,Artyfact,1
crypto-gladiator-shards,cgl,Crypto Gladiator League,1
genopets,gene,Genopets,1
ix-token,ixt,Planet IX,1
dotmoovs,moov,dotmoovs,1
everdome,dome,Everdome,1
rainbow-token-2,rbw,Rainbow Token,1
senate,senate,SENATE,1
rebel-bots,rbls,Rebel Bots,1
revv,revv,REVV,1
reboot,gg,Reboot,1
veloce-vext,vext,Veloce,1
dose-token,dose,DOSE,1
decimated,dio,Decimated,1
ispolink,isp,Ispolink,1
playzap,pzp,PlayZap,1
magiccraft,mcrt,MagicCraft,1
exosama-network,sama,Moonsama,1
bag,bag,Bag,1
redfox-labs-2,rfox,RFOX,1
monkeyball,mbs,UNKJD,1
reality-metaverse,rmv,Reality Metaverse,1
gensokishis-metaverse,mv,GensoKishi Metaverse,1
netvrk,netvr,Netvrk,1
iq-protocol,iqt,IQ Protocol,1
polka-city,polc,Polkacity,1
warped-games,warped,Warped Games,1
wombat,wombat,Wombat,1
dypius,dyp,Dypius,1
mars4,mars4,MARS4,1
splinterlands,sps,Splintershards,1
chain-games,chain,Chain Games,1
kryptomon,kmon,Kryptomon,1
gameswap-org,gswap,Gameswap,1
sin-city,sin,Sinverse,1
mixmob,mxm,MixMob,1
outer-ring,gq,Blink Galaxy,1
dogami,doga,Dogami,1
dope-wars-paper,paper,Dope Wars Paper,1
dehub,dhb,DeHub,1
pegaxy-stone,pgx,Pegaxy,1
firestarter,flame,FireStarter,1
bullieverse,bull,Bullieverse,1
champignons-of-arborethia,champz,Champignons of Arborethia,1
cryowar-token,cwar,Cryowar,1
morra,morra,Morra,1
wam,wam,Wam,1
dark-frontiers,dark,Dark Frontiers,1
chain-guardians,cgg,Chain Guardians,1
crowns,cws,Seascape Crowns,1
chimaera,wchi,XAYA,1
exeedme,xed,Exeedme,1
nftb,nftb,NFTb,1
the-unfettered-souls,souls,The Unfettered Ecosystem,1
rainicorn,$raini,Raini,1
good-games-guild,ggg,Good Games Guild,1
revomon-2,revo,Revomon,1
derby-stars-run,dsrun,Derby Stars RUN,1
realfevr,fevr,RealFevr,1
my-defi-pet,dpet,My DeFi Pet,1
green-satoshi-token-bsc,gst-bsc,STEPN Green Satoshi Token on BSC,1
kitty-inu,kitty,Kitty Inu,1
vidya,vidya,Vidya,1
eldarune,elda,Eldarune,1
deepspace,dps,DEEPSPACE,1
rome,rome,Rome,1
realm,realm,Realm,1
fabwelt,welt,Fabwelt,1
shroom-finance,shroom,Niftyx Protocol,1
bomber-coin,bcoin,BombCrypto,1
avaocado-dao,avg,Avocado DAO,1
atari,atri,Atari,1
unix,unix,UniX,1
battle-world,bwo,Battle World,1
mch-coin,mchc,MCH Coin,1
blockchainspace,guild,BlockchainSpace,1
fear,fear,FEAR,1
green-satoshi-token-on-eth,gst-eth,STEPN Green Satoshi Token on ETH,1
heroeschained,hec,HeroesChained,1
zookeeper,zoo,ZooKeeper,1
the-three-kingdoms,ttk,The Three Kingdoms,1
metastrike,mts,Metastrike,1
vempire-ddao,vemp,VEMP,1
materium,mtrm,Materium,1
battle-pets,pet,Hello Pets,1
polker,pkr,Polker,1
alaska-gold-rush,carat,Alaska Gold Rush,1
cocktailbar,coc,The Cocktailbar,1
blockchain-monster-hunt,bcmc,Blockchain Monster Hunt,1
monsterra,mstr,Monsterra,1
metaverser,mtvt,Metaverser,1
metafighter,mf,MetaFighter,1
ioi-token,ioi,IOI Token,1
revenant,gamefi,Revenant,1
epiko,epiko,Epiko,1
blackpool-token,bpt,BlackPool,1
revolve-games,rpg,Revolve Games,1
faraland,fara,FaraLand,1
chronicle,xnl,Chronicle,1
vigorus,vis,Vigorus,1
meta-toy-dragonz-saga-fxerc20,fxmetod,Meta Toy DragonZ SAGA (FXERC20),1
ebisusbay-fortune,frtn,Fortune Token,1
nifty-league,nftl,Nifty League,1
decentral-games-old,dg,Decentral Games (Old),1
gamespad,gmpd,GamesPad,1
cryptozoon,zoon,CryptoZoon,1
binamon,bmon,Binamon,1
forest-knight,knight,Forest Knight,1
iqeon,iqn,IQeon,1
wanaka-farm,wana,Wanaka Farm,1
micropets,pets,MicroPets [OLD],1
kleekai,klee,KleeKai,1
retrocraft,retro,RetroCraft,1
galaxy-fight-club,gcoin,Galaxy Fight Club,1
dogemon-go,dogo,DogemonGo,1
token-in,tin,Token IN,1
cryptoblades,skill,CryptoBlades,1
dinox,dnxc,DinoX,1
pancake-hunny,hunny,Hunny Finance,1
monsta-infinite,moni,Monsta Infinite,1
must,must,Must,1
waves-ducks,egg,Waves Ducks,1
dragon-crypto-aurum,dcau,Dragon Crypto Aurum,1
gg-token,ggtk,GG,1
metarun,mrun,Metarun,1
mist,mist,Mist,1
kcal,kcal,KCAL,1
gax-liquidity-token-reward,gltr,GAX Liquidity Token Reward,1
cryptotanks,tank,CryptoTanks,1
decentral-games-ice,ice,Decentral Games ICE,1
nitro-league,nitro,Nitro League,1
kawaii-islands,kwt,Kawaii Islands,1
crypto-raiders,raider,Crypto Raiders,1
wizarre-scroll,scrl,Wizarre Scroll,1
crabada,cra,Crabada,1
chain-of-legends,cleg,Chain of Legends,1
lucha,lucha,Lucha,1
bezoge-earth,bezoge,Bezoge Earth,1
cryptomeda,tech,Cryptomeda,1
polkawar,pwar,PolkaWar,1
snook,snk,Snook,1
gamyfi-token,gfx,GamyFi,1
ethermon,emon,Ethermon,1
aavegotchi-kek,kek,Aavegotchi KEK,1
medieval-empires,mee,Medieval Empires,1
karrat,karrat,Karrat,1
land-of-heroes,loh,Land Of Heroes,1
bounty-temple,tyt,Bounty Temple,1
playdapp,pda,PlayDapp,1
rainmaker-games,rain,Rainmaker Games,1
ethlas,els,Ethlas,1
bitcoin-cats,1cat,Bitcoin Cats,1
mxs-games,xseed,MXS Games,1
forgotten-playland,fp,Forgotten Playland,1
tridentdao,psi,TridentDAO,1
apeironnft,aprs,Apeiron,1
genopet-ki,ki,Genopets KI,1
rebel-bots-oil,xoil,Rebel Bots Oil,1
decentraland,mana,Decentraland,1
wemix-token,wemix,WEMIX,1
ecomi,omi,ECOMI,1
gamefi,gafi,GameFi.org,1
paragonsdao,pdt,ParagonsDAO,1
tower,tower,Tower,1
gaia-everworld,gaia,Gaia Everworld,1
plant-vs-undead-token,pvu,Plant vs Undead,1
milk,milk,Cool Cats Milk,1
game-fantasy-token,gft,Game Fantasy,1
froggies-token-2,frgst,Froggies,1
defi-warrior,fiwa,Defi Warrior,1
crolon-mars,clmrs,Crolon Mars,1
my-master-war,mat,My Master War,1
playnity,ply,PlayNity,1
benzene,bzn,Benzene,1
demeter,deo,Demeter,1
wall-street-games,wsg,Wall Street Games [OLD],1
avaxtars,avxt,Avaxtars,1
crusaders-of-crypto,crusader,Crusaders of Crypto,1
battle-saga,btl,Battle Saga,1
treasure-under-sea,tus,Treasure Under Sea,1
fancy-games,fnc,Fancy Games,1
nftmall,gem,NFTmall,1
nft-soccer-games,nfsg,NFT Soccer Games,1
