id,symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply
ondo-finance,ondo,Ondo,0.8145267107359591,1187064368.0,84.0,8222006986.0,363451309.0,0.921589,0.814526,-0.028241488101343002,-3.3510400000000002,-24552074.72709608,-2.02639,1443764727.588207,10000000000.0,10000000000.0
pendle,pendle,Pendle,6.050616457021465,590341273.0,147.0,1573700041.0,120475118.0,6.44,6.05,-0.385484365269433,-5.98941,-34716368.42465997,-5.55411,96950723.3581583,258446028.244635,258446028.244635
xdce-crowd-sale,xdc,XDC Network,0.03991974386684,556501540.0,155.0,1516621329.0,9948567.0,0.0437028,0.03881933,0.00102753,2.642,14948819.0,2.76036,13910797524.6,37910788572.45,
mantra-dao,om,MANTRA,0.647255654405667,528307989.0,157.0,575338359.0,27521487.0,0.733034,0.646598,-0.023116046960354002,-3.44824,-19568041.50734651,-3.5716200000000002,816227692.4,888888888.0,888888888.0
polymesh,polyx,Polymesh,0.405293721217294,424349208.0,190.0,424349208.0,39775602.0,0.460678,0.401813,-0.047604887607332,-10.51116,-50188390.39231217,-10.576270000000001,1045393721.29907,1045393721.29907,
origintrail,trac,OriginTrail,0.956438880584191,388563358.0,199.0,479163411.0,2469473.0,1.004,0.9528329999999999,-0.009069626237240001,-0.9393600000000001,-2881241.784451127,-0.7360500000000001,405460171.582,500000000.0,500000000.0
centrifuge,cfg,Centrifuge,0.7006703195331001,344478264.0,216.0,382290634.0,1449934.0,0.76453,0.6998679999999999,-0.052565510637872,-6.97863,-25602178.85885054,-6.918,491620251.0,545583966.0,
chex-token,chex,CHEX Token,0.267808973363658,267427320.0,243.0,267427320.0,2062322.0,0.29348,0.264277,-0.015076163251470001,-5.32943,-14018511.173445523,-4.9808900000000005,998844955.438933,998844955.438933,1000000000.0
goldfinch,gfi,Goldfinch,3.510360642462828,251708527.0,256.0,401179039.0,5044171.0,3.73,3.46,-0.164854813760126,-4.48558,-11067648.513226122,-4.21182,71705363.304692,114285714.0,114285714.0
creditcoin-2,ctc,Creditcoin,0.6882306574626831,229025113.0,275.0,414170752.0,8060517.0,0.780964,0.6882600000000001,-0.052916932311953005,-7.13986,-17220792.55272463,-6.99333,331783609.0,599999997.0,
lcx,lcx,LCX,0.291325571884954,225763639.0,277.0,276730898.0,2150854.0,0.293556,0.27498,0.00213328,0.73767,1084168.0,0.48254,775032563.659999,950000000.0,
propy,pro,Propy,2.956473718232136,172069284.0,327.0,297201062.0,9722631.0,3.35,2.81,0.061752999999999995,2.13329,3983370.0,2.36984,57896591.39105386,100000000.0,100000000.0
tokenfi,token,TokenFi,0.12011103742657601,170912717.0,329.0,1208141645.0,30467250.0,0.134093,0.12034399999999999,-0.011326783663653,-8.6176,-14968284.837526947,-8.05262,1414674496.52121,10000000000.0,10000000000.0
dusk-network,dusk,Dusk,0.35233514658610904,163049253.0,345.0,176832345.0,15586674.0,0.39278799999999997,0.351153,-0.031916374236982,-8.30612,-14224859.133639783,-8.02422,461027796.316325,500000000.0,1000000000.0
stasis-eurs,eurs,STASIS EURO,1.071024799361306,132978180.0,394.0,132978180.0,1224762.0,1.077,1.068,-0.005050198667943,-0.46932,-567210.949831903,-0.42473000000000005,124125940.0,124125940.0,124125940.0
truefi,tru,TrueFi,0.11765999749553101,131837038.0,398.0,145171281.0,14965160.0,0.131638,0.11653799999999999,-0.012086744085637001,-9.31564,-13993570.89061281,-9.59577,1119137233.18523,1232328859.15516,1232328859.15516
ix-swap,ixs,IX Swap,0.6660853530626131,112441218.0,455.0,119913012.0,1941399.0,0.811731,0.611216,0.022059950000000002,3.42532,4431147.0,4.10253,168784179.084762,180000000.0,180000000.0
allianceblock-nexera,nxra,AllianceBlock Nexera,0.141150127368168,111998758.0,444.0,120313246.0,1231356.0,0.15309699999999998,0.14074599999999998,-0.005631792994321001,-3.83684,-4693977.097298965,-4.02251,791259049.8235,850000000.0,850000000.0
